nyear1,countyname,SourceType,mun,mfg,mining,power,irrig,livestock
1974,ANDERSON      ,Groundwater,"1,600","1,433","3,139",0,127,151
1974,ANDERSON      ,Surfacewater,"2,077",240,0,0,616,"1,235"
1974,ANDREWS       ,Groundwater,"2,422",79,"11,961",0,"5,278",225
1974,ANDREWS       ,Surfacewater,0,0,0,0,0,95
1974,ANGELINA      ,Groundwater,"6,698","27,131",15,0,462,79
1974,ANGELINA      ,Surfacewater,0,"4,175",0,0,0,404
1974,ARANSAS       ,Groundwater,566,200,55,0,0,61
1974,ARANSAS       ,Surfacewater,"1,250",444,0,0,0,7
1974,ARCHER        ,Groundwater,115,0,10,0,0,334
1974,ARCHER        ,Surfacewater,550,38,55,0,846,"1,132"
1974,ARMSTRONG     ,Groundwater,331,1,0,0,"30,308",610
1974,ARMSTRONG     ,Surfacewater,0,0,0,0,0,239
1974,ATASCOSA      ,Groundwater,"2,673",2,133,0,"56,962","1,729"
1974,ATASCOSA      ,Surfacewater,0,0,0,0,134,190
1974,AUSTIN        ,Groundwater,"2,196",112,55,0,"10,246",428
1974,AUSTIN        ,Surfacewater,0,0,0,0,0,"1,651"
1974,BAILEY        ,Groundwater,"1,668",22,3,0,"375,874",790
1974,BAILEY        ,Surfacewater,0,0,0,0,0,196
1974,BANDERA       ,Groundwater,932,291,4,0,36,427
1974,BANDERA       ,Surfacewater,0,0,0,0,59,0
1974,BASTROP       ,Groundwater,"2,524",205,2,0,927,231
1974,BASTROP       ,Surfacewater,0,0,0,"5,411","2,088","1,808"
1974,BAYLOR        ,Groundwater,980,15,19,0,"5,364",148
1974,BAYLOR        ,Surfacewater,0,0,0,0,297,553
1974,BEE           ,Groundwater,"3,858",32,124,0,"1,611","1,156"
1974,BEE           ,Surfacewater,0,0,0,0,0,127
1974,BELL          ,Groundwater,"2,917",16,384,0,90,302
1974,BELL          ,Surfacewater,"21,090","1,662",127,87,"1,712","1,301"
1974,BEXAR         ,Groundwater,"147,141","15,811","3,004","2,344","13,699",273
1974,BEXAR         ,Surfacewater,0,285,0,"16,879","13,953","1,415"
1974,BLANCO        ,Groundwater,220,31,38,0,83,636
1974,BLANCO        ,Surfacewater,347,0,0,0,35,0
1974,BORDEN        ,Groundwater,79,0,8,0,610,122
1974,BORDEN        ,Surfacewater,18,0,0,0,0,477
1974,BOSQUE        ,Groundwater,"1,436",200,66,0,342,329
1974,BOSQUE        ,Surfacewater,0,0,0,0,717,"1,151"
1974,BOWIE         ,Groundwater,"2,731",50,329,0,"1,296",246
1974,BOWIE         ,Surfacewater,"9,956","2,737",15,0,"1,733","1,822"
1974,BRAZORIA      ,Groundwater,"14,589","7,341",556,0,"20,251",211
1974,BRAZORIA      ,Surfacewater,28,"212,981",120,0,"138,063","1,527"
1974,BRAZOS        ,Groundwater,"10,885","1,247",223,"1,556","3,312",200
1974,BRAZOS        ,Surfacewater,0,0,0,0,"2,596","1,206"
1974,BREWSTER      ,Groundwater,"1,841",29,12,0,130,946
1974,BREWSTER      ,Surfacewater,0,0,0,0,249,0
1974,BRISCOE       ,Groundwater,318,2,2,0,"102,019",135
1974,BRISCOE       ,Surfacewater,0,0,0,0,"1,026",502
1974,BROOKS        ,Groundwater,"1,309",41,37,0,"1,632",874
1974,BROOKS        ,Surfacewater,0,0,0,0,0,94
1974,BROWN         ,Groundwater,634,15,24,0,"1,032",327
1974,BROWN         ,Surfacewater,"5,587",626,73,0,"27,072",950
1974,BURLESON      ,Groundwater,"1,164",37,1,0,"8,393",200
1974,BURLESON      ,Surfacewater,0,0,0,0,"1,369","1,358"
1974,BURNET        ,Groundwater,"1,360",37,"1,622",0,136,190
1974,BURNET        ,Surfacewater,366,0,688,0,382,683
1974,CALDWELL      ,Groundwater,"3,069",206,70,0,97,253
1974,CALDWELL      ,Surfacewater,0,0,0,0,"1,563",896
1974,CALHOUN       ,Groundwater,848,"3,278",26,0,"2,715",48
1974,CALHOUN       ,Surfacewater,"1,429","26,206",0,0,"40,456",419
1974,CALLAHAN      ,Groundwater,619,0,31,0,951,245
1974,CALLAHAN      ,Surfacewater,544,12,0,0,868,930
1974,CAMERON       ,Groundwater,558,564,9,0,0,785
1974,CAMERON       ,Surfacewater,"25,003","3,903",102,"2,760","392,245",54
1974,CAMP          ,Groundwater,"1,008",129,149,0,0,138
1974,CAMP          ,Surfacewater,0,0,0,0,0,323
1974,CARSON        ,Groundwater,861,"1,354",588,0,"184,354",753
1974,CARSON        ,Surfacewater,0,0,0,0,0,249
1974,CASS          ,Groundwater,"2,662",122,331,0,0,149
1974,CASS          ,Surfacewater,294,"20,381",8,0,0,852
1974,CASTRO        ,Groundwater,"1,880","1,083",0,0,"546,160","2,505"
1974,CASTRO        ,Surfacewater,0,0,0,0,0,456
1974,CHAMBERS      ,Groundwater,"1,696",0,183,0,0,76
1974,CHAMBERS      ,Surfacewater,0,"2,333",0,0,"125,262",671
1974,CHEROKEE      ,Groundwater,"4,218","1,194",25,0,40,218
1974,CHEROKEE      ,Surfacewater,818,39,0,"2,814",30,"1,890"
1974,CHILDRESS     ,Groundwater,121,0,16,0,"9,383",106
1974,CHILDRESS     ,Surfacewater,"1,019",38,0,0,0,412
1974,CLAY          ,Groundwater,513,0,11,0,303,573
1974,CLAY          ,Surfacewater,565,17,93,0,240,"1,543"
1974,COCHRAN       ,Groundwater,871,18,"7,982",0,"85,564",852
1974,COCHRAN       ,Surfacewater,0,0,0,0,0,225
1974,COKE          ,Groundwater,33,6,0,0,20,145
1974,COKE          ,Surfacewater,389,15,172,429,746,573
1974,COLEMAN       ,Groundwater,354,40,15,0,0,299
1974,COLEMAN       ,Surfacewater,"1,119",8,0,0,"2,836",997
1974,COLLIN        ,Groundwater,"1,283",153,107,"2,505",0,241
1974,COLLIN        ,Surfacewater,"10,172",701,0,790,47,"1,164"
1974,COLLINGSWORTH ,Groundwater,583,1,0,0,"17,378",236
1974,COLLINGSWORTH ,Surfacewater,0,0,0,0,262,730
1974,COLORADO      ,Groundwater,"2,503",65,"2,639",0,"59,704",335
1974,COLORADO      ,Surfacewater,0,0,0,0,"118,423","1,933"
1974,COMAL         ,Groundwater,"5,083","2,733",298,0,172,425
1974,COMAL         ,Surfacewater,0,"2,203",0,0,20,0
1974,COMANCHE      ,Groundwater,661,1,4,0,"10,715",495
1974,COMANCHE      ,Surfacewater,963,133,0,0,"7,538","1,677"
1974,CONCHO        ,Groundwater,371,0,2,0,259,"1,153"
1974,CONCHO        ,Surfacewater,36,0,0,0,481,0
1974,COOKE         ,Groundwater,"2,941",544,"1,117",0,68,361
1974,COOKE         ,Surfacewater,0,0,4,0,101,"1,378"
1974,CORYELL       ,Groundwater,"2,064",41,3,0,21,330
1974,CORYELL       ,Surfacewater,"4,290",0,0,0,588,"1,158"
1974,COTTLE        ,Groundwater,537,0,0,0,"4,683",202
1974,COTTLE        ,Surfacewater,0,0,0,0,0,770
1974,CRANE         ,Groundwater,921,756,269,0,0,136
1974,CRANE         ,Surfacewater,0,0,0,0,0,0
1974,CROCKETT      ,Groundwater,"1,491",4,79,"1,706","2,090","1,196"
1974,CROCKETT      ,Surfacewater,0,0,0,0,0,0
1974,CROSBY        ,Groundwater,638,423,4,0,"231,800",393
1974,CROSBY        ,Surfacewater,651,0,217,0,"1,000",155
1974,CULBERSON     ,Groundwater,771,21,"5,231",0,"28,935",416
1974,CULBERSON     ,Surfacewater,0,0,0,0,0,0
1974,DALLAM        ,Groundwater,"1,450",97,2,0,"243,520",897
1974,DALLAM        ,Surfacewater,0,0,0,0,0,383
1974,DALLAS        ,Groundwater,"14,228","6,130",0,"2,486",130,66
1974,DALLAS        ,Surfacewater,"219,199","47,360","4,177","8,835",118,497
1974,DAWSON        ,Groundwater,686,0,"1,831",0,"31,245",200
1974,DAWSON        ,Surfacewater,"2,070",93,0,0,0,54
1974,DEAF SMITH    ,Groundwater,"4,410","2,389",10,0,"514,799","3,469"
1974,DEAF SMITH    ,Surfacewater,0,0,0,0,0,597
1974,DELTA         ,Groundwater,295,2,0,0,0,55
1974,DELTA         ,Surfacewater,217,0,0,0,0,450
1974,DENTON        ,Groundwater,"4,401",20,16,"1,727",146,418
1974,DENTON        ,Surfacewater,"9,709",663,"1,179",0,8,"1,387"
1974,DEWITT        ,Groundwater,"2,468",326,22,0,821,330
1974,DEWITT        ,Surfacewater,0,0,0,0,166,"1,753"
1974,DICKENS       ,Groundwater,213,0,2,0,"15,021",195
1974,DICKENS       ,Surfacewater,366,5,0,0,267,606
1974,DIMMIT        ,Groundwater,"1,577",52,14,0,"26,672","1,202"
1974,DIMMIT        ,Surfacewater,0,0,0,0,"6,852",114
1974,DONLEY        ,Groundwater,267,0,3,0,"26,020",187
1974,DONLEY        ,Surfacewater,463,2,0,0,0,712
1974,DUVAL         ,Groundwater,"1,137",42,137,0,"2,909","1,374"
1974,DUVAL         ,Surfacewater,0,0,0,0,0,150
1974,EASTLAND      ,Groundwater,606,130,42,0,"8,324",271
1974,EASTLAND      ,Surfacewater,"2,997",176,0,0,"2,135",899
1974,ECTOR         ,Groundwater,"9,731","3,959","3,148",0,"3,338",95
1974,ECTOR         ,Surfacewater,"6,029",274,0,0,269,40
1974,EDWARDS       ,Groundwater,357,2,0,0,108,"1,311"
1974,EDWARDS       ,Surfacewater,0,0,0,0,207,0
1974,EL PASO       ,Groundwater,"78,254","10,932","4,793","3,723","5,808",906
1974,EL PASO       ,Surfacewater,"13,536",682,30,0,"173,502",0
1974,ELLIS         ,Groundwater,"2,199","1,976",19,0,0,147
1974,ELLIS         ,Surfacewater,"4,043",461,0,0,0,"1,377"
1974,ERATH         ,Groundwater,"2,894",127,6,0,"10,025",492
1974,ERATH         ,Surfacewater,424,0,0,0,"2,836","1,748"
1974,FALLS         ,Groundwater,918,0,12,0,"4,841",176
1974,FALLS         ,Surfacewater,"1,553",426,0,0,"2,129","1,581"
1974,FANNIN        ,Groundwater,"1,771",994,29,0,147,153
1974,FANNIN        ,Surfacewater,890,269,2,"5,994",188,"1,303"
1974,FAYETTE       ,Groundwater,"2,529",277,49,0,152,342
1974,FAYETTE       ,Surfacewater,0,0,0,0,149,"1,821"
1974,FISHER        ,Groundwater,348,0,"1,043",0,"2,093",237
1974,FISHER        ,Surfacewater,580,178,79,0,669,703
1974,FLOYD         ,Groundwater,"1,590",24,8,0,"287,400",531
1974,FLOYD         ,Surfacewater,0,0,0,0,0,162
1974,FOARD         ,Groundwater,82,0,1,0,"3,533",156
1974,FOARD         ,Surfacewater,311,2,0,0,0,597
1974,FORT BEND     ,Groundwater,"7,784","2,841","2,758",0,"46,583",122
1974,FORT BEND     ,Surfacewater,0,"15,602",0,"9,032","21,908",999
1974,FRANKLIN      ,Groundwater,444,12,121,0,0,101
1974,FRANKLIN      ,Surfacewater,250,29,0,0,0,753
1974,FREESTONE     ,Groundwater,"1,029",101,17,0,0,216
1974,FREESTONE     ,Surfacewater,365,3,0,"12,930",0,"1,789"
1974,FRIO          ,Groundwater,"2,119",138,376,611,"72,767","1,417"
1974,FRIO          ,Surfacewater,0,0,0,0,27,141
1974,GAINES        ,Groundwater,"2,672",200,"14,444",0,"310,826",480
1974,GAINES        ,Surfacewater,0,0,0,0,0,159
1974,GALVESTON     ,Groundwater,"20,555","12,185",332,0,175,24
1974,GALVESTON     ,Surfacewater,"6,676","57,332",0,0,"17,333",163
1974,GARZA         ,Groundwater,162,33,997,0,"15,667",110
1974,GARZA         ,Surfacewater,455,264,0,0,0,395
1974,GILLESPIE     ,Groundwater,"1,852",269,211,0,371,"1,305"
1974,GILLESPIE     ,Surfacewater,10,0,45,0,461,0
1974,GLASSCOCK     ,Groundwater,144,0,61,0,"55,103",362
1974,GLASSCOCK     ,Surfacewater,0,0,0,0,0,0
1974,GOLIAD        ,Groundwater,663,7,10,0,179,958
1974,GOLIAD        ,Surfacewater,0,0,0,0,776,93
1974,GONZALES      ,Groundwater,"1,459",819,9,0,"1,559","1,187"
1974,GONZALES      ,Surfacewater,"1,322",127,0,0,548,"2,069"
1974,GRAY          ,Groundwater,"1,102","4,548","2,799",0,"45,719",787
1974,GRAY          ,Surfacewater,"3,607",637,346,0,0,412
1974,GRAYSON       ,Groundwater,"8,455","2,488",108,0,981,197
1974,GRAYSON       ,Surfacewater,"4,072","1,339",0,0,760,"1,583"
1974,GREGG         ,Groundwater,"3,258",396,502,0,0,38
1974,GREGG         ,Surfacewater,"7,165","5,971",0,"3,544",0,330
1974,GRIMES        ,Groundwater,"1,520",143,19,0,115,222
1974,GRIMES        ,Surfacewater,0,0,0,0,0,"1,939"
1974,GUADALUPE     ,Groundwater,"2,489",161,28,0,"1,080",156
1974,GUADALUPE     ,Surfacewater,"2,634",576,0,0,"1,645","1,054"
1974,HALE          ,Groundwater,"4,516","2,649","1,333",0,"826,177","1,757"
1974,HALE          ,Surfacewater,"2,125",0,0,0,180,322
1974,HALL          ,Groundwater,844,8,0,0,"25,213",161
1974,HALL          ,Surfacewater,0,0,0,0,0,545
1974,HAMILTON      ,Groundwater,495,65,1,0,307,303
1974,HAMILTON      ,Surfacewater,581,0,0,0,"1,403",952
1974,HANSFORD      ,Groundwater,"1,524",31,66,0,"409,341","1,311"
1974,HANSFORD      ,Surfacewater,0,0,0,0,130,349
1974,HARDEMAN      ,Groundwater,317,111,9,0,"17,238",128
1974,HARDEMAN      ,Surfacewater,527,242,0,"1,785",173,505
1974,HARDIN        ,Groundwater,"3,598","1,917",75,0,"5,770",15
1974,HARDIN        ,Surfacewater,0,0,0,0,0,105
1974,HARRIS        ,Groundwater,"221,789","228,946","17,892","13,808","82,541",151
1974,HARRIS        ,Surfacewater,"66,497","137,391",0,0,"8,400","1,243"
1974,HARRISON      ,Groundwater,"2,508",286,833,0,2,119
1974,HARRISON      ,Surfacewater,"3,743","28,038",51,0,45,"1,011"
1974,HARTLEY       ,Groundwater,661,18,2,0,"187,972","1,833"
1974,HARTLEY       ,Surfacewater,0,0,0,0,0,374
1974,HASKELL       ,Groundwater,"1,138",40,361,0,"41,646",157
1974,HASKELL       ,Surfacewater,35,0,0,"1,136",68,501
1974,HAYS          ,Groundwater,"5,050",181,5,0,462,79
1974,HAYS          ,Surfacewater,56,0,0,0,"1,263",710
1974,HEMPHILL      ,Groundwater,"1,068",56,44,0,"5,144",202
1974,HEMPHILL      ,Surfacewater,0,0,0,0,36,531
1974,HENDERSON     ,Groundwater,"1,701",97,94,0,0,270
1974,HENDERSON     ,Surfacewater,"1,958",303,28,"3,453",0,"2,246"
1974,HIDALGO       ,Groundwater,"4,556",564,"1,142",0,"18,763","1,297"
